Region (Bhf);Techn. Platz (Bhf);Bezeichnung (Bhf);Bezeichn. TP (EQ);Equipment (EQ);Bezeichnung (EQ);Postleitzahl (EQ);Ort (Bhf);Standort EQ;Hersteller (EQ);Baujahr (EQ);Klassenbezeichnung;ANTRIEBSART;ANZAHL_HALTESTELLEN;ANZAHL_TUEREN_KABINE;ANZAHL_TUEREN_SCHACHT;FOERDERGESCHWINDIGKEIT;FOERDERHOEHE;LAGE;TRAGKRAFT;ERWEITERTE_ORTSANGABE;MIN_TUERBREITE;KABINENTIEFE;KABINENBREITE;KABINENHOEHE;AUSFTEXTLICHEBESCHREIBUNG;TUERHOHE;FABRIKNUMMER;TUERART;GEOKOORDINATERECHTSWERTNEU;GEOKOORDINATEHOCHWERTNEU;NAMEGEMAESSWEGELEITSYSTEM;VERKEHRENDEVERKEHRSMITTEL
7;5169;Regensburg Hbf;Überführung als Bahnsteigszugang;10248830;Personenaufzug Bstg 2 HA 0007;93047;Regensburg;BSTG II;Thyssen Krupp;2003;Personenaufzüge;SEIL;2;1;2;10000;64000;GLEIS 4/5;10500000;BAHNSTEIGMITTE;10000000;21000000;11000000;21900000;zu Gleis 4/5 Abschnitt C;21000000;252522150;ES2;12,0998225;49,0117883;;
6;6292;Tuttlingen;Bahnsteig 03 (Gleis 4/5);10556568;Bstg. 3, Personenaufzug (20048438-2);78532;Tuttlingen;BAHNSTEIG 3;Schindler;2017;Personenaufzüge;SEIL;2;2152;2;10000;43580;;6500000;;;;;;zum Gleis 4/5;;20048438-2;;8,798488;47,980633;;
4;6914;Wuppertal Hbf;Bahnsteig 02 (Gl 2/3);10502375;Personenaufzug Bstg. 2;42103;Wuppertal;BAHNSTEIG 2;Schindler GmbH;2017;Personenaufzüge;SEIL;2;2;2;10000;39900;INNEN;10500000;;10000000;22400000;10300000;22000000;zu Gleis 2/3;21000000;10949562;ES2;7,1498703;51,2544457;;
4;1311;Dortmund-Kley;S-Bahnsteig 01;10480252;Personenaufzug Bstg. 1;44149;Dortmund;BAHNSTEIG 1;;2014;Personenaufzüge;SEIL;2;;;;;;;;;;;;zu Gleis 1/2 (S-Bahn);;;;7,3649464;51,4894706;;
2;1352;Dresden-Neustadt;Flur 2  mit Aufzügen;10186968;Aufzug Nr.20 Keller/TH/ID293920 INAK;1097;Dresden;KELLERGANG HANSASTR.;Aufzugswerk Leipzig;1975;Personenaufzüge;HYDRAULISCH;3;1;3;2000;85000;;5000000;;;;;;;;;;;;;
7;4248;München-Berg am Laim;Bahnsteig 01 Gl.1/2;10441373;HA 1055 Personenaufzug Gleis 1/2;81673;München;BAHNSTEIG ZUGANG UNTERFÜHRUNG;ThyssenKrupp Aufzüge GmbH;2009;Personenaufzüge;SEIL;2;2;2;10000;70700;GLEIS 1/2;13500000;BAHNSTEIGMITTE;11000000;21000000;14000000;20700000;zu Gleis 1/2;20000000;285008056;;11,633373;48,1339871;;
7;944;Buchloe;Bahnsteig A Gleis 1;10589930;Personenaufzug Bahnsteig 1 Gl 1;86807;Buchloe;BAHNSTEIG 1 GL 1;ThyssenKrupp;2018;Personenaufzüge;SEIL;2;2;2;;;;10500000;;10000000;16800000;16800000;22000000;zu Gleis 1;;285017074;ES2;10,7167762;48,0338552;;
3;7179;Langenhagen-Mitte;Bahnsteig Gleis 1;10093597;Personenaufzug Nr. 21274 Bstg Gl 1;30853;Langenhagen;BSTG GL 1;Tepper Aufzüge GmbH;1999;Personenaufzüge;HYDRAULISCH;2;1;2;4000;51500;;11000000;;10000000;21000000;11000000;22000000;zu Gleis 2/3;21000000;21274;ZS2;9,725815445;52,44085092;;
2;4955;Plauen (Vogtl) ob Bf;Plauen (Vogtl) ob Bf Bahnsteig 5;10286645;Personenaufzug Bstg. 5/6;8525;Plauen;BSTG. 5/6;Thyssen Krupp;2006;Personenaufzüge;SEIL;2;1;2;10000;33900;AUßEN;10000000;;;;;;zu Gleis 5/6;;;;12,1302121;50,5061027;;
2;4309;Naumburg (Saale) Hbf;Bahnsteig 4-5;10502105;Personenaufzug Bstg 4/5;6618;Naumburg;;;2016;Personenaufzüge;SEIL;2;1;2;;;;;;;;;;zu Gleis 4/5;;10902941;;11.7957287;51.1627442;;
4;1392;Düren;Bahnsteig 3 (Gl.5/6);10205337;Personenaufzug;52349;Düren;BAHNSTEIG 3;Mahler u. Paulus Aufzugsdienst;2000;Personenaufzüge;HYDRAULISCH;2;1;2;4000;48300;;10000000;;;;;;zu Gleis 5/6;;;;6,482449;50,8091951;;
6;636;Bietigheim-Bissingen;Bahnsteig 03;10499799;PAufzug_HA1602_Bstg. 3;74321;Bietigheim-Bissingen;;Schindler GmbH;2016;Personenaufzüge;SEIL;2;2;;10000;47300;;10500000;;;;;;zu Gleis 7/8;;10876187;;9,13767;48,94802;;
4;6037;Stolberg (Rheinl) Hbf;Bahnsteig 2 (Gleis 41/42);10534653;Personenaufzug PÜ/Bahnsteig;52222;Stolberg (Rheinl);;Fa. Schindler;2019;Personenaufzüge;SEIL;2;;2;10000;76400;;;;;;;;Aufzug zum Bahnsteig;;;;6.21786;50.79473;;
1;5422;Ruhland;Bahnsteig 3/4;10500425;Aufzug 3/4 Fabriknr. 10996520;1945;Ruhland;PERS.UNTERFÜHRUNG > BSTG.3/4;Fa. Schindler;2017;Personenaufzüge;SEIL;2;2;2;10000;41200;AUßEN;10500000;GL 3/4 TUNNEL;10000000;22500000;10500000;22000000;zu Gleis 3/4;21000000;10996520;;13,86997;51,45525;;
3;4548;Nienburg (Weser);Bahnsteig Gleis 3/4;10047338;Personenaufzug OTIS 47 KAG 124;31582;Nienburg;GL. 3/4;OTIS GmbH & Co. OHG;2007;Personenaufzüge;SEIL;2;1;2;10000;44200;;10250000;;10000000;21000000;11000000;22000000;zu Gleis 3/4;21000000;47KAG124;ES2;9,2175949;52,6455422;;
2;2498;Halle (Saale) Hbf;Gleis 4 neu 2019;10567567;Personenaufzug 4/5;6112;Halle;;;2019;Personenaufzüge;SEIL;2;1;2;;;;;;;;;;;;;;11,9866251;51,4772960;;
4;3166;Kettwig;S-Bahnsteig 02;10480231;Personenaufzug Bstg. 2;45219;Essen;;Thyssen Krupp;2013;Personenaufzüge;SEIL;2;1;1;;;;;;;;;;zu Gleis 2/3 (S-Bahn);;282210080;;6,953402;51,3630919;;
