Nom du département;Nombre d'arrondissements;Nombre de cantons;Nombre de communes;Population municipale;Population totale
Ain;4;23;410;626.127;643.309
Aisne;5;21;805;539.783;554.040
Allier;3;19;318;343.062;353.262
Alpes-de-Haute-Provence;4;15;199;161.588;166.298
Hautes-Alpes;2;15;168;139.883;145.213
Alpes-Maritimes;2;27;163;1.083.312;1.098.785
Ardèche;3;17;339;322.381;332.051
Ardennes;4;19;457;279.715;287.775
Ariège;3;13;332;152.574;158.076
Aube;3;17;431;308.094;316.098
Aude;3;19;436;365.478;375.065
Aveyron;3;23;286;278.644;289.901
Bouches-du-Rhône;4;29;119;2.006.069;2.035.475
Calvados;4;25;621;691.670;708.407
Cantal;3;15;255;146.618;152.400
Charente;3;19;394;353.853;366.787
Charente-Maritime;5;27;469;637.089;656.046
Cher;3;19;290;310.270;318.590
Corrèze;3;19;285;241.340;249.684
Corse-du-Sud;2;11;124;151.652;154.100
Haute-Corse;3;15;236;172.560;175.499
Côte-d'Or;3;23;705;531.380;545.001
Côtes-d'Armor;4;27;362;597.397;617.413
Creuse;2;15;259;120.581;124.948
Dordogne;4;25;545;416.350;428.651
Doubs;3;19;585;534.710;549.155
Drôme;3;19;367;499.159;514.104
Eure;3;23;617;598.347;616.076
Eure-et-Loir;4;15;391;433.762;445.083
Finistère;4;27;281;905.855;935.393
Gard;3;23;353;736.029;752.382
Haute-Garonne;3;27;589;1.317.668;1.344.579
Gers;3;17;462;190.625;197.988
Gironde;6;33;540;1.526.016;1.556.663
Hérault;3;25;343;1.107.398;1.127.333
Ille-et-Vilaine;4;27;351;1.032.240;1.060.051
Indre;4;13;243;226.175;232.802
Indre-et-Loire;3;19;277;603.924;619.004
Isère;3;29;526;1.243.597;1.271.938
Jura;3;17;528;260.681;270.826
Landes;2;15;331;400.477;414.090
Loir-et-Cher;3;15;283;333.567;344.121
Loire;3;21;326;757.305;774.262
Haute-Loire;3;19;258;226.565;234.078
Loire-Atlantique;4;31;212;1.346.592;1.382.766
Loiret;3;21;327;669.737;688.098
Lot;3;17;326;173.648;180.016
Lot-et-Garonne;4;21;319;333.234;343.198
Lozère;2;13;176;76.360;80.423
Maine-et-Loire;4;21;250;805.888;829.156
Manche;4;27;516;499.958;518.322
Marne;5;23;617;570.817;584.297
Haute-Marne;3;17;429;180.673;186.698
Mayenne;3;17;258;307.471;317.716
Meurthe-et-Moselle;4;23;594;732.153;746.687
Meuse;3;17;501;191.530;197.763
Morbihan;3;21;256;741.051;764.338
Moselle;5;27;729;1.045.154;1.065.894
Nièvre;4;17;310;213.569;221.048
Nord;6;41;648;2.603.472;2.640.622
Oise;4;21;690;818.680;838.646
Orne;3;21;413;287.750;297.109
Pas-de-Calais;7;39;893;1.472.589;1.497.668
Puy-de-Dôme;5;31;467;644.216;661.248
Pyrénées-Atlantiques;3;27;547;667.249;688.451
Hautes-Pyrénées;3;17;472;228.950;236.577
Pyrénées-Orientales;3;17;226;466.327;474.842
Bas-Rhin;5;23;518;1.112.815;1.131.812
Haut-Rhin;4;17;366;760.134;775.941
Rhône;2;13;285;1.801.885;1.833.002
Haute-Saône;2;17;543;238.347;246.022
Saône-et-Loire;5;29;570;555.788;574.229
Sarthe;3;21;368;568.760;583.961
Savoie;3;19;292;426.924;440.777
Haute-Savoie;4;17;290;783.127;806.447
Paris;1;;1;2.220.445;2.243.739
Seine-Maritime;3;35;718;1.257.920;1.284.107
Seine-et-Marne;5;23;511;1.377.846;1.400.477
Yvelines;4;21;262;1.421.670;1.449.398
Deux-Sèvres;3;17;297;373.553;384.655
Somme;4;23;782;571.632;583.641
Tarn;2;23;320;384.474;396.341
Tarn-et-Garonne;2;15;195;252.578;258.696
Var;3;23;153;1.038.212;1.055.745
Vaucluse;3;17;151;554.374;566.592
Vendée;3;17;269;662.122;681.469
Vienne;3;19;280;433.203;444.347
Haute-Vienne;3;21;200;376.199;384.708
Vosges;3;17;510;373.560;386.978
Yonne;3;21;434;341.814;352.433
Territoire de Belfort;1;9;102;144.334;147.647
Essonne;3;21;196;1.268.228;1.286.908
Hauts-de-Seine;3;23;36;1.597.770;1.617.484
Seine-Saint-Denis;3;21;40;1.571.028;1.582.139
Val-de-Marne;3;25;47;1.365.039;1.377.511
Val-d'Oise;3;21;185;1.205.539;1.221.946
Guadeloupe;2;21;32;400.186;406.706
Martinique;4;;34;383.911;390.252
Guyane;2;;22;252.338;254.845
La Réunion;4;25;24;842.767;852.657
