Date;Trips
2013-01-01;96
2013-01-02;53
2013-01-03;61
2013-01-04;79
2013-01-05;76
2013-01-06;62
2013-01-07;60
2013-01-08;63
2013-01-09;68
2013-01-10;75
2013-01-11;80
2013-01-12;97
2013-01-13;70
2013-01-14;74
2013-01-15;72
2013-01-16;72
2013-01-17;87
2013-01-18;112
2013-01-19;121
2013-01-20;77
2013-01-21;72
2013-01-22;71
2013-01-23;74
2013-01-24;83
2013-01-25;95
2013-01-26;105
2013-01-27;105
2013-01-28;57
2013-01-29;84
2013-01-30;80
2013-01-31;106
2013-02-01;89
2013-02-02;102
2013-02-03;78
2013-02-04;65
2013-02-05;85
2013-02-06;77
2013-02-07;91
2013-02-08;118
2013-02-09;105
2013-02-10;72
2013-02-11;65
2013-02-12;77
2013-02-13;86
2013-02-14;89
2013-02-15;121
2013-02-16;160
2013-02-17;99
2013-02-18;76
2013-02-19;93
2013-02-20;99
2013-02-21;124
2013-02-22;133
2013-02-23;128
2013-02-24;100
2013-02-25;68
2013-02-26;82
2013-02-27;79
2013-02-28;111
2013-03-01;125
2013-03-02;127
2013-03-03;114
2013-03-04;86
2013-03-05;86
2013-03-06;86
2013-03-07;93
2013-03-08;120
2013-03-09;137
2013-03-10;111
2013-03-11;93
2013-03-12;90
2013-03-13;103
2013-03-14;102
2013-03-15;122
2013-03-16;211
2013-03-17;117
2013-03-18;97
2013-03-19;84
2013-03-20;114
2013-03-21;114
2013-03-22;129
2013-03-23;126
2013-03-24;89
2013-03-25;76
2013-03-26;75
2013-03-27;84
2013-03-28;86
2013-03-29;112
2013-03-30;103
2013-03-31;56
2013-04-01;60
2013-04-02;73
2013-04-03;91
2013-04-04;115
2013-04-05;115
2013-04-06;139
2013-04-07;103
2013-04-08;98
2013-04-09;103
2013-04-10;119
2013-04-11;139
2013-04-12;136
2013-04-13;151
2013-04-14;90
2013-04-15;96
2013-04-16;99
2013-04-17;106
2013-04-18;106
2013-04-19;120
2013-04-20;132
2013-04-21;95
2013-04-22;91
2013-04-23;110
2013-04-24;90
2013-04-25;111
2013-04-26;127
2013-04-27;134
2013-04-28;105
2013-04-29;92
2013-04-30;100
2013-05-01;84
2013-05-02;108
2013-05-03;133
2013-05-04;127
2013-05-05;100
2013-05-06;87
2013-05-07;107
2013-05-08;85
2013-05-09;113
2013-05-10;119
2013-05-11;120
2013-05-12;82
2013-05-13;104
2013-05-14;108
2013-05-15;104
2013-05-16;109
2013-05-17;131
2013-05-18;152
2013-05-19;143
2013-05-20;100
2013-05-21;118
2013-05-22;101
2013-05-23;144
2013-05-24;104
2013-05-25;154
2013-05-26;101
2013-05-27;63
2013-05-28;90
2013-05-29;110
2013-05-30;92
2013-05-31;135
2013-06-01;142
2013-06-02;111
2013-06-03;93
2013-06-04;119
2013-06-05;112
2013-06-06;118
2013-06-07;135
2013-06-08;141
2013-06-09;118
2013-06-10;115
2013-06-11;116
2013-06-12;98
2013-06-13;103
2013-06-14;133
2013-06-15;156
2013-06-16;106
2013-06-17;90
2013-06-18;105
2013-06-19;115
2013-06-20;127
2013-06-21;121
2013-06-22;140
2013-06-23;107
2013-06-24;104
2013-06-25;109
2013-06-26;116
2013-06-27;123
2013-06-28;148
2013-06-29;153
2013-06-30;111
2013-07-01;86
2013-07-02;87
2013-07-03;109
2013-07-04;89
2013-07-05;116
2013-07-06;127
2013-07-07;103
2013-07-08;92
2013-07-09;85
2013-07-10;121
2013-07-11;125
2013-07-12;156
2013-07-13;160
2013-07-14;124
2013-07-15;106
2013-07-16;94
2013-07-17;106
2013-07-18;137
2013-07-19;151
2013-07-20;184
2013-07-21;131
2013-07-22;115
2013-07-23;106
2013-07-24;112
2013-07-25;132
2013-07-26;124
2013-07-27;145
2013-07-28;92
2013-07-29;80
2013-07-30;111
2013-07-31;103
2013-08-01;122
2013-08-02;138
2013-08-03;155
2013-08-04;135
2013-08-05;112
2013-08-06;94
2013-08-07;105
2013-08-08;112
2013-08-09;124
2013-08-10;150
2013-08-11;126
2013-08-12;96
2013-08-13;88
2013-08-14;135
2013-08-15;109
2013-08-16;138
2013-08-17;147
2013-08-18;124
2013-08-19;95
2013-08-20;104
2013-08-21;107
2013-08-22;114
2013-08-23;127
2013-08-24;109
2013-08-25;109
2013-08-26;90
2013-08-27;94
2013-08-28;107
2013-08-29;122
2013-08-30;134
2013-08-31;145
2013-09-01;120
2013-09-02;80
2013-09-03;87
2013-09-04;92
2013-09-05;101
2013-09-06;131
2013-09-07;155
2013-09-08;117
2013-09-09;114
